Sno,bank_name,interest_rate,tenure,loan_amount,emi,processing_fee_pct,down_payment
1,HDFC Bank,8.45,60,850000,17456,1.25,150000
2,ICICI Bank,8.9,72,1200000,21567,1.1,200000
3,SBI,8.25,84,950000,14892,0.95,120000
4,Axis Bank,9.1,48,700000,17418,1.35,100000
5,Kotak Mahindra Bank,8.75,60,1100000,22731,1.5,180000
6,IndusInd Bank,9.35,72,1300000,23894,1.75,250000
7,Punjab National Bank,8.4,60,600000,12256,0.9,90000
8,Canara Bank,8.15,84,750000,11523,0.85,100000
9,Bank of Baroda,8.55,48,500000,12341,1,80000
10,Yes Bank,9.6,60,900000,18912,1.8,140000
11,Federal Bank,8.95,72,1000000,18045,1.2,160000
12,Union Bank of India,8.3,84,650000,10074,0.8,95000
13,IDFC FIRST Bank,9.2,60,1400000,29124,1.6,300000
14,AU Small Finance Bank,10.1,48,450000,11456,2,70000
15,RBL Bank,9.75,72,800000,14678,1.9,120000
