transaction_id,customer_id,txn_timestamp,customer_age,account_age_days,customer_segment,transaction_amount,transaction_hour,merchant_category,country_code,distance_from_home_km,device_change_flag,device_type,payment_channel,ip_risk_score,failed_login_attempts_24h,transaction_velocity_1h,avg_txn_amount_30d,amount_vs_avg_ratio,card_present_flag,cross_border_flag,merchant_risk_score,chargeback_history_count,balance_before_txn,salary_day_flag,is_fraud
T202600001,C100028,11-03-2026 15:44,50,819,retail,234.71,15,fuel,US,8809.2,0,web,mobile_app,0.266,0,3,251.77,0.93,0,1,0.165,1,7666.46,0,0
T202600002,C100223,03-03-2026 00:18,30,640,retail,117.04,0,electronics,US,13.5,0,atm,contactless,0.361,0,1,43.79,2.67,1,0,0.523,1,5333.85,0,0
T202600003,C100249,09-02-2026 04:04,20,672,affluent,51.06,4,luxury,US,21.1,0,pos,mobile_app,0.418,0,2,38.5,1.33,1,0,0.305,1,5502.34,0,0
T202600004,C100257,09-01-2026 03:37,24,1432,affluent,64.68,3,gaming,IN,1.1,0,mobile,contactless,0.343,0,1,94.6,0.68,1,0,0.602,0,30987.17,0,0
T202600005,C100178,11-03-2026 10:33,72,539,small_business,35.47,10,fuel,IN,8.2,0,web,card_swipe,0.403,0,1,42.53,0.83,1,0,0.06,2,7577.45,0,0
T202600006,C100231,08-03-2026 07:44,69,284,retail,295.89,7,grocery,IN,20.6,0,mobile,card_swipe,0.209,1,2,116.34,2.54,1,0,0.608,1,6164.1,0,0
T202600007,C100216,10-01-2026 07:21,22,704,affluent,81.79,7,restaurant,IN,5.9,0,mobile,card_swipe,0.091,1,1,101.91,0.8,1,0,0.679,1,8292.25,0,1
T202600008,C100116,16-03-2026 08:47,20,1493,retail,27.2,8,digital_services,CA,7.5,0,pos,web_portal,0.041,0,1,15,1.81,0,0,0.342,1,3054.67,0,0
T202600009,C100203,27-01-2026 04:22,59,770,student,17.76,4,restaurant,US,1.8,0,atm,card_swipe,0.16,1,3,15,1.18,1,0,0.359,0,639.76,0,0
T202600010,C100010,12-01-2026 01:09,49,875,student,180.55,1,fashion,GB,2.3,0,mobile,mobile_app,0.444,0,2,177.27,1.02,0,0,0.381,0,925.05,0,0
T202600011,C100133,18-01-2026 23:30,51,1505,student,32.03,23,fashion,US,11.9,0,web,atm,0.211,0,3,28.73,1.11,1,0,0.195,0,6752.23,0,0
T202600012,C100053,23-02-2026 15:27,46,751,small_business,575.96,15,digital_services,SG,14,0,pos,mobile_app,0.771,1,3,137.28,4.2,1,0,0.357,0,667.03,0,0
T202600013,C100269,15-03-2026 11:47,53,1457,student,258,11,grocery,IN,2.5,0,mobile,web_portal,0.204,1,1,180.63,1.43,0,0,0.073,0,6646.7,0,0
T202600014,C100265,29-01-2026 14:51,52,1212,retail,179.8,14,restaurant,NG,1891.8,1,web,card_swipe,0.8,0,2,127.29,1.41,1,1,0.534,0,2044.34,0,0
T202600015,C100272,26-02-2026 12:05,27,628,small_business,39.46,12,healthcare,GB,4.2,0,web,card_swipe,0.012,0,0,21.41,1.84,0,0,0.253,0,3167.91,0,0
T202600016,C100205,17-01-2026 11:05,33,387,retail,198.43,11,gaming,CA,4500.7,0,pos,contactless,0.229,1,3,117.38,1.69,1,1,0.661,0,4641.44,0,0
T202600017,C100054,14-03-2026 01:54,47,710,retail,112.57,1,restaurant,US,2.5,0,mobile,card_swipe,0.349,0,0,81.82,1.38,1,0,0.528,0,14667,0,0
T202600018,C100044,25-03-2026 19:28,22,490,retail,7.92,19,grocery,AE,30.1,0,pos,contactless,0.205,0,2,15,0.53,1,0,0.165,0,317.17,1,0
T202600019,C100056,19-02-2026 18:27,50,1022,small_business,41.79,18,digital_services,US,20.7,0,atm,contactless,0.562,0,2,112.55,0.37,0,0,0.785,1,1375.67,0,0
T202600020,C100164,24-03-2026 15:50,43,1342,retail,217.07,15,healthcare,NG,26.7,0,mobile,contactless,0.4,1,1,121.13,1.79,1,0,0.361,0,2964.24,0,0
T202600021,C100291,04-01-2026 06:06,34,931,small_business,13.47,6,grocery,SG,21.9,0,mobile,contactless,0.655,1,3,33.55,0.4,1,0,0.181,0,2484.74,0,0
T202600022,C100031,05-03-2026 21:23,31,1055,student,6.04,21,atm_withdrawal,SG,13.9,1,mobile,contactless,0.31,0,3,15,0.4,0,0,0.286,1,3045.41,0,0
T202600023,C100141,26-03-2026 15:41,30,442,student,170.31,15,electronics,CA,13.2,0,mobile,mobile_app,0.605,0,1,213.56,0.8,1,0,0.315,0,1346.55,0,0
T202600024,C100152,12-02-2026 16:07,73,1939,senior,203.3,16,travel,DE,13.2,0,pos,web_portal,0.457,0,1,137.75,1.48,0,0,0.939,1,1979.91,0,0
T202600025,C100166,17-03-2026 08:44,37,904,senior,9.83,8,fuel,US,18,0,mobile,web_portal,0.637,0,1,64.25,0.15,1,0,0.26,2,8068.39,0,0
T202600026,C100143,11-03-2026 11:44,42,1264,retail,82.39,11,gaming,US,15.4,0,mobile,mobile_app,0.056,0,1,31.47,2.62,1,0,0.7,0,7618.63,0,0
T202600027,C100267,09-03-2026 23:30,38,981,senior,78.88,23,fuel,BR,2.6,0,mobile,mobile_app,0.03,0,2,88.47,0.89,0,0,0.178,0,5457.54,0,0
T202600028,C100231,02-02-2026 23:52,69,284,retail,74.36,23,restaurant,IN,13.8,0,web,contactless,0.1,1,2,116.34,0.64,0,0,0.228,1,6207.85,0,0
T202600029,C100082,03-01-2026 05:37,27,1208,retail,95.38,5,digital_services,US,10.8,0,pos,web_portal,0.157,0,3,24.77,3.85,1,0,0.566,0,4762.95,0,0
T202600030,C100307,28-02-2026 20:51,51,1107,retail,401.36,20,atm_withdrawal,GB,6860.2,0,pos,mobile_app,0.653,0,3,112.28,3.57,1,1,0.216,0,7298.99,1,0
T202600031,C100092,25-03-2026 20:10,68,450,retail,536.22,20,healthcare,GB,4.1,0,mobile,mobile_app,0.21,0,1,210.36,2.55,0,0,0.368,1,2186.76,1,0
T202600032,C100216,17-02-2026 04:15,22,704,affluent,159.81,4,fashion,IN,21.1,0,mobile,atm,0.678,0,1,101.91,1.57,1,0,0.446,1,7090.95,0,0
T202600033,C100111,14-02-2026 14:55,64,1506,retail,16.55,14,fuel,US,33,1,web,mobile_app,0.108,1,4,83.36,0.2,1,0,0.305,1,5673.54,0,0
T202600034,C100292,03-01-2026 06:01,75,415,retail,50.4,6,travel,SG,13.2,0,pos,contactless,0.094,0,3,40.29,1.25,0,0,0.42,0,1973.25,0,0
