category,email
politics,politics.editor@globalpressnews.com
geopolitics & international affairs,geopolitics.editor@globalpressnews.com
business & economy,business.editor@globalpressnews.com
finance & markets,finance.editor@globalpressnews.com
banking & insurance,banking.editor@globalpressnews.com
science & technology,tech.editor@globalpressnews.com
artificial intelligence,ai.editor@globalpressnews.com
cybersecurity,cybersecurity.editor@globalpressnews.com
healthcare & medicine,health.editor@globalpressnews.com
environment & climate change,climate.editor@globalpressnews.com
space & astronomy,space.editor@globalpressnews.com
sports,sports.editor@globalpressnews.com
entertainment & celebrity news,entertainment.editor@globalpressnews.com
movies & cinema,cinema.editor@globalpressnews.com
music & pop culture,music.editor@globalpressnews.com
lifestyle & fashion,lifestyle.editor@globalpressnews.com
travel & tourism,travel.editor@globalpressnews.com
food & culinary,food.editor@globalpressnews.com
education,education.editor@globalpressnews.com
law & judiciary,legal.editor@globalpressnews.com
crime & public safety,crime.editor@globalpressnews.com
defense & military,defense.editor@globalpressnews.com
energy & utilities,energy.editor@globalpressnews.com
real estate & infrastructure,infrastructure.editor@globalpressnews.com
startups & entrepreneurship,startups.editor@globalpressnews.com
automotive industry,automotive.editor@globalpressnews.com
agriculture & farming,agriculture.editor@globalpressnews.com
retail & e-commerce,retail.editor@globalpressnews.com
social media & internet trends,socialmedia.editor@globalpressnews.com
human rights & social issues,socialissues.editor@globalpressnews.com
religion & culture,culture.editor@globalpressnews.com
weather & natural disasters,weather.editor@globalpressnews.com
others,other.editor@globalpressnews.com
